attribute,word,count,attribute_total
cleanliness,clean,37,55
cleanliness,dirty,10,55
cleanliness,greasy,6,55
cleanliness,bathroom,2,55
food,food,203,550
food,delicious,89,550
food,menu,65,550
food,sauce,35,550
food,fresh,35,550
food,fries,24,550
food,salad,22,550
food,taste,18,550
food,burger,14,550
food,flavor,12,550
food,tasty,12,550
food,portion,9,550
food,pizza,6,550
food,dish,4,550
food,overcooked,2,550
location,wait,35,136
location,busy,35,136
location,lot,15,136
location,location,13,136
location,find,10,136
location,parking,9,136
location,distance,5,136
location,easy,4,136
location,nearby,4,136
location,close,3,136
location,crowded,2,136
location,line,1,136
service,service,136,330
service,friendly,59,330
service,staff,41,330
service,quick,31,330
service,server,16,330
service,helpful,14,330
service,waitress,13,330
service,attentive,10,330
service,slow,6,330
service,waiter,2,330
service,rude,2,330
